A1CF	rep2_peak_4778 (+2911)
AGMAT	rep2_peak_417 (-20796), rep2_peak_415 (-21)
AGO2	rep2_peak_39873 (+8243), rep2_peak_39872 (+9261)
AGPAT2	rep2_peak_41713 (-11474)
AGPS	rep2_peak_23012 (+30), rep2_peak_23013 (+1764), rep2_peak_23014 (+4238), rep2_peak_23015 (+5391)
AGT	rep2_peak_3823 (-14858), rep2_peak_3821 (-181), rep2_peak_3820 (+5519), rep2_peak_3819 (+11139)
AGXT	rep2_peak_23962 (-10872), rep2_peak_23964 (+239), rep2_peak_23965 (+5773)
AHCY	rep2_peak_24686 (-8113), rep2_peak_24683 (+2356)
AHCYL1	rep2_peak_2057 (-24522), rep2_peak_2058 (-22977), rep2_peak_2059 (-5706)
AHCYL2	rep2_peak_37887 (-23596), rep2_peak_37888 (-7994)
AHDC1	rep2_peak_797 (-3849), rep2_peak_795 (+29102)
AHI1	rep2_peak_35521 (-25687)
AHSG	rep2_peak_29212 (-13623), rep2_peak_29214 (+13), rep2_peak_29219 (+18432), rep2_peak_29220 (+21529)
AIFM2	rep2_peak_4963 (+13)
AIMP1	rep2_peak_30545 (-28958)
AJUBA	rep2_peak_10907 (-99)
AK2	rep2_peak_935 (-16297)
AK3	rep2_peak_40056 (+673)
AK4	rep2_peak_1588 (+11034)
AKAP1	rep2_peak_16759 (+167)
AKAP8L	rep2_peak_19224 (+7495)
AKIRIN1	rep2_peak_1016 (-29608), rep2_peak_1018 (-21974), rep2_peak_1019 (-5258)
AKR1C1	rep2_peak_4147 (-15292), rep2_peak_4148 (-6156)
AKR1C2	rep2_peak_4151 (-5321)
AKR1C3	rep2_peak_4153 (-21856), rep2_peak_4155 (+627)
AKR1D1	rep2_peak_38011 (-26531), rep2_peak_38012 (-11511), rep2_peak_38014 (-9302), rep2_peak_38017 (+10276), rep2_peak_38018 (+13305)
ALAD	rep2_peak_41157 (+19122)
ALAS1	rep2_peak_27636 (+12768)
ALB	rep2_peak_30221 (-28793), rep2_peak_30222 (-25143), rep2_peak_30231 (+26144), rep2_peak_30232 (+28082)
ALCAM	rep2_peak_28150 (+20425)
ALDH18A1	rep2_peak_5436 (+15581), rep2_peak_5435 (+21104)
ALDH1A1	rep2_peak_40562 (+18618)
ALDH1B1	rep2_peak_40384 (-11429)
ALDH1L1	rep2_peak_28392 (-3579)
ALDH3A1	rep2_peak_15870 (+11287), rep2_peak_15869 (+24490)
ALDH3A2	rep2_peak_15863 (+234), rep2_peak_15866 (+11847)
ALDH3B1	rep2_peak_7111 (+7279)
ALDH4A1	rep2_peak_492 (+2328)
ALDH5A1	rep2_peak_33796 (+9956)
ALDOB	rep2_peak_40956 (-10069), rep2_peak_40954 (+2387), rep2_peak_40953 (+13932)
ALG11	rep2_peak_10449 (-384)
ALG14	rep2_peak_1905 (+5639)
ALG1L	rep2_peak_28384 (-976)
ALG8	rep2_peak_7396 (-16981)
ALOX15	rep2_peak_15493 (-6680)
ALOX15B	rep2_peak_15609 (+17668)
ALPK2	rep2_peak_18471 (+23441)
AMACR	rep2_peak_31386 (-27922), rep2_peak_31383 (-254)
AMBN	rep2_peak_30204 (-28100)
AMBP	rep2_peak_41180 (-2544), rep2_peak_41179 (+35)
AMDHD1	rep2_peak_9302 (+5362), rep2_peak_9303 (+6648)
AMDHD2	rep2_peak_13521 (+4125)
AMOTL2	rep2_peak_28547 (+947)
AMPD2	rep2_peak_2042 (-1825)
AMZ1	rep2_peak_36277 (-16296)
ANAPC13	rep2_peak_28549 (-62)
ANAPC15	rep2_peak_7218 (-1329)
ANAPC4	rep2_peak_29862 (-4557)
ANG	rep2_peak_10852 (+2457), rep2_peak_10854 (+4498)
ANGEL1	rep2_peak_11744 (-19898), rep2_peak_11743 (-17291)
ANGPT2	rep2_peak_38368 (+2779), rep2_peak_38367 (+3477)
ANGPTL3	rep2_peak_1551 (+24612)
ANGPTL4	rep2_peak_18990 (-6777), rep2_peak_18992 (+10311), rep2_peak_18994 (+24213)
ANGPTL8	rep2_peak_19070 (+2075)
ANKMY2	rep2_peak_36435 (-407)
ANKRA2	rep2_peak_31867 (+20951)
ANKRD1	rep2_peak_5329 (-10340), rep2_peak_5328 (-58)
ANKRD10	rep2_peak_10768 (+6357)
ANKRD11	rep2_peak_15318 (-15036), rep2_peak_15314 (+27011)
ANKRD23	rep2_peak_21929 (+24630)
ANKRD26	rep2_peak_4396 (+11615)
ANKRD39	rep2_peak_21934 (-4274)
ANKRD40	rep2_peak_16657 (+21054), rep2_peak_16656 (+23008)
ANKRD9	rep2_peak_12103 (+27758)
ANKS4B	rep2_peak_14011 (+27481)
ANO6	rep2_peak_8555 (-23549), rep2_peak_8558 (-178)
ANPEP	rep2_peak_13208 (+5469), rep2_peak_13207 (+8103)
ANXA13	rep2_peak_39635 (+17246)
ANXA2	rep2_peak_12663 (+4754), rep2_peak_12661 (+18034), rep2_peak_12660 (+23217)
ANXA2R	rep2_peak_31552 (-21836), rep2_peak_31551 (-15189)
ANXA4	rep2_peak_21539 (-7497)
ANXA5	rep2_peak_30651 (+5549), rep2_peak_30650 (+20241)
AOC3	rep2_peak_16341 (+14669), rep2_peak_16342 (+15791)
AOX1	rep2_peak_23260 (-6898)
AP1AR	rep2_peak_30592 (-28050), rep2_peak_30593 (-23207), rep2_peak_30594 (-260)
AP3B1	rep2_peak_31980 (+19819)
AP3S2	rep2_peak_13214 (+24964)
AP5B1	rep2_peak_7008 (+18500)
APBB1	rep2_peak_6173 (-15118)
APCDD1	rep2_peak_17937 (+9699)
APEH	rep2_peak_27555 (-2611)
APLP2	rep2_peak_8018 (+20652)
APMAP	rep2_peak_24494 (+5506)
APOA1	rep2_peak_7781 (+11), rep2_peak_7778 (+5509)
APOA2	rep2_peak_2704 (-823), rep2_peak_2701 (+4913)
APOA4	rep2_peak_7775 (-3695), rep2_peak_7774 (+14824)
APOA5	rep2_peak_7774 (-16062)
APOB	rep2_peak_20634 (-26414), rep2_peak_20632 (-12472), rep2_peak_20630 (-45), rep2_peak_20629 (+915)
APOBEC2	rep2_peak_34397 (+10728), rep2_peak_34398 (+12423)
APOBEC3A	rep2_peak_26506 (-28113)
APOC1	rep2_peak_19797 (-1233), rep2_peak_19798 (-54), rep2_peak_19799 (+7061), rep2_peak_19800 (+10170), rep2_peak_19801 (+11311), rep2_peak_19803 (+21790)
APOC3	rep2_peak_7775 (-2891), rep2_peak_7776 (-772), rep2_peak_7777 (-72), rep2_peak_7778 (+2549)
APOC4	rep2_peak_19799 (-20930), rep2_peak_19800 (-17821), rep2_peak_19801 (-16680), rep2_peak_19803 (-6201)
APOE	rep2_peak_19797 (+7260)
APOH	rep2_peak_17069 (-229)
APOL1	rep2_peak_26389 (+11391)
APOL5	rep2_peak_26369 (-7194)
APOLD1	rep2_peak_8312 (-518)
APOM	rep2_peak_34151 (+301)
APP	rep2_peak_25505 (+3570)
AQP11	rep2_peak_7374 (+323), rep2_peak_7375 (+4444)
AQP7	rep2_peak_40249 (-13216), rep2_peak_40246 (+11064)
ARAP1	rep2_peak_7236 (-25713), rep2_peak_7233 (+3223)
ARFGEF2	rep2_peak_25036 (+13244)
ARG1	rep2_peak_35454 (+1082)
ARG2	rep2_peak_11511 (+3592)
ARHGAP1	rep2_peak_6632 (+9728)
ARHGAP12	rep2_peak_4491 (-16246), rep2_peak_4489 (-12387)
ARHGAP18	rep2_peak_35423 (-7249), rep2_peak_35421 (+14347), rep2_peak_35417 (+28371)
ARHGAP19	rep2_peak_5483 (+13118), rep2_peak_5482 (+15217)
ARHGAP23	rep2_peak_16122 (-12730)
ARHGAP24	rep2_peak_30380 (-11)
ARHGAP26	rep2_peak_32775 (-29713)
ARHGAP32	rep2_peak_7983 (-10675)
ARHGAP40	rep2_peak_24831 (-16303), rep2_peak_24832 (+3135)
ARHGAP45	rep2_peak_18667 (+9685)
ARHGEF1	rep2_peak_19712 (+20161)
ARHGEF12	rep2_peak_7889 (-903)
ARHGEF2	rep2_peak_2610 (-12760)
ARHGEF26	rep2_peak_28802 (+19178)
ARHGEF28	rep2_peak_31869 (-2032)
ARHGEF3	rep2_peak_27727 (+18727)
ARHGEF33	rep2_peak_20925 (+18014)
ARHGEF39	rep2_peak_40313 (-4306)
ARID1A	rep2_peak_746 (-426)
ARID2	rep2_peak_8560 (-2026), rep2_peak_8561 (-729)
ARID3A	rep2_peak_18661 (+9024), rep2_peak_18662 (+26737)
ARID3B	rep2_peak_12951 (+5109)
ARL10	rep2_peak_33196 (+6899)
ARL4A	rep2_peak_36417 (-16970), rep2_peak_36421 (+28636)
ARL4D	rep2_peak_16395 (+10864)
ARL5A	rep2_peak_22616 (-24697), rep2_peak_22614 (-14656)
ARMC12	rep2_peak_34282 (+2964)
ARMT1	rep2_peak_35839 (-67)
ARSA	rep2_peak_26802 (-13931)
ARSB	rep2_peak_32008 (-16731), rep2_peak_32007 (-155), rep2_peak_32006 (+3970), rep2_peak_32004 (+26990)
ARSF	rep2_peak_41820 (-327)
ART4	rep2_peak_8338 (-106)
AS3MT	rep2_peak_5639 (+7346)
ASAH1	rep2_peak_38562 (-7210)
ASAH2	rep2_peak_4759 (-1647), rep2_peak_4758 (+13914)
ASAP2	rep2_peak_20365 (+28089)
ASAP3	rep2_peak_629 (+5049)
ASB1	rep2_peak_23924 (-22640), rep2_peak_23928 (+23277)
ASB2	rep2_peak_11916 (-13339), rep2_peak_11915 (+17193)
ASB3	rep2_peak_21249 (-27)
ASGR2	rep2_peak_15561 (-18017), rep2_peak_15560 (-96)
ASH2L	rep2_peak_38850 (+29012)
ASIP	rep2_peak_24678 (+29518)
ASNS	rep2_peak_37453 (+43)
ASPM	rep2_peak_3150 (-27560)
ASPRV1	rep2_peak_21550 (+28226)
ASPSCR1	rep2_peak_17675 (-9534), rep2_peak_17676 (+15409), rep2_peak_17678 (+17647), rep2_peak_17679 (+23438)
ASRGL1	rep2_peak_6826 (-10641)
ASXL2	rep2_peak_20693 (-28494)
ATAD2	rep2_peak_39625 (-9272), rep2_peak_39624 (-7414), rep2_peak_39623 (-119)
ATAT1	rep2_peak_34096 (-32), rep2_peak_34097 (+20651), rep2_peak_34098 (+28629)
ATE1	rep2_peak_5921 (-7875), rep2_peak_5920 (-2606)
ATF3	rep2_peak_3443 (+41)
ATF7IP2	rep2_peak_13709 (-28672), rep2_peak_13710 (-23478), rep2_peak_13711 (-18227)
ATG101	rep2_peak_8738 (-8043)
ATG12	rep2_peak_32354 (-2849)
ATG16L1	rep2_peak_23804 (+2095)
ATIC	rep2_peak_23457 (+146)
ATL2	rep2_peak_20896 (-29554)
ATP10A	rep2_peak_12211 (+12388)
ATP11A	rep2_peak_10778 (+1227)
ATP13A3	rep2_peak_29394 (-14667), rep2_peak_29392 (+1677), rep2_peak_29391 (+3226)
ATP1B1	rep2_peak_2850 (-18927)
ATP2A2	rep2_peak_9526 (-11065)
ATP2B2	rep2_peak_26928 (-3168), rep2_peak_26926 (+14544)
ATP4A	rep2_peak_19524 (-5817)
ATP5D	rep2_peak_18675 (+3312), rep2_peak_18676 (+4900)
ATP5EP2	rep2_peak_10084 (+15667)
ATP5G1	rep2_peak_16581 (-20985)
ATP5G2	rep2_peak_8798 (+143), rep2_peak_8797 (+17172)
ATP6V0A1	rep2_peak_16306 (+25677)
ATP6V0D2	rep2_peak_39263 (+29651)
ATP6V1G3	rep2_peak_3168 (+5838)
ATP7B	rep2_peak_10449 (-536)
ATP8B2	rep2_peak_2541 (+6730)
ATP9A	rep2_peak_25184 (-12759), rep2_peak_25181 (+7472), rep2_peak_25177 (+23915)
ATPAF2	rep2_peak_15812 (+21035)
ATR	rep2_peak_28639 (-48)
ATRAID	rep2_peak_20748 (-16897)
ATXN1	rep2_peak_33698 (-440), rep2_peak_33695 (+6360)
ATXN10	rep2_peak_26685 (-18553)
ATXN2	rep2_peak_9548 (-624)
AUNIP	rep2_peak_715 (-2013)
AURKAIP1	rep2_peak_50 (-141), rep2_peak_48 (+14843)
AVIL	rep2_peak_8929 (-29187)
AVPI1	rep2_peak_5502 (-234)
AXIN2	rep2_peak_17048 (+4030)
AZGP1	rep2_peak_37527 (-27839), rep2_peak_37526 (-21670)
AZIN2	rep2_peak_935 (-28961)
B3GALT6	rep2_peak_37 (+5989)
B3GNT2	rep2_peak_21358 (+29060)
B3GNT6	rep2_peak_7363 (+2125), rep2_peak_7364 (+27011)
B3GNTL1	rep2_peak_17755 (+3116)
B4GALNT2	rep2_peak_16594 (-26019), rep2_peak_16595 (-6521)
B4GALNT4	rep2_peak_6053 (-13467)
B4GALT1	rep2_peak_40241 (-5223), rep2_peak_40237 (+1455), rep2_peak_40236 (+4422), rep2_peak_40235 (+27374)
B4GALT5	rep2_peak_25063 (+13136)
B4GALT6	rep2_peak_18164 (-12833)
B4GAT1	rep2_peak_7041 (-3738)
B9D1	rep2_peak_15849 (+24228)
BAAT	rep2_peak_40947 (+28886)
BABAM2	rep2_peak_20786 (-15180)
BACE1	rep2_peak_7800 (+12980)
BACH1	rep2_peak_25518 (-22)
BAHCC1	rep2_peak_17645 (+2046)
BAIAP2L1	rep2_peak_37468 (-18084), rep2_peak_37466 (-16691)
BANF2	rep2_peak_24344 (-9228), rep2_peak_24346 (+28539)
BAZ1B	rep2_peak_37109 (-360)
BAZ2A	rep2_peak_8878 (-613)
BBC3	rep2_peak_19909 (-11535)
BBOX1	rep2_peak_6434 (+14330)
BCAM	rep2_peak_19781 (-1816)
BCAN	rep2_peak_2650 (+19592)
BCAR1	rep2_peak_14961 (+3437), rep2_peak_14960 (+4733), rep2_peak_14958 (+20665)
BCAR3	rep2_peak_1839 (+19046)
BCAS1	rep2_peak_25251 (+2799)
BCAS4	rep2_peak_25155 (-4065)
BCKDK	rep2_peak_14301 (-162)
BCL11A	rep2_peak_21329 (+22636)
BCL2A1	rep2_peak_13088 (-7718)
BCL2L1	rep2_peak_24574 (+2907), rep2_peak_24572 (+10095), rep2_peak_24570 (+11325), rep2_peak_24568 (+16000), rep2_peak_24567 (+18142), rep2_peak_24564 (+26569)
BCL2L10	rep2_peak_12523 (-21960), rep2_peak_12522 (-4085), rep2_peak_12521 (-3490)
BCL2L11	rep2_peak_22169 (-301), rep2_peak_22171 (+2330), rep2_peak_22172 (+14476)
BCL3	rep2_peak_19772 (-29765), rep2_peak_19778 (+17207)
BCL6	rep2_peak_29252 (+25966)
BCL7A	rep2_peak_9784 (+4015)
BCL7C	rep2_peak_14276 (+18872)
BDH1	rep2_peak_29495 (-17441)
BDH2	rep2_peak_30519 (+4621)
BDKRB2	rep2_peak_12001 (-8931)
BEAN1	rep2_peak_14657 (+6419), rep2_peak_14658 (+8019), rep2_peak_14660 (+26115)
BFAR	rep2_peak_13858 (+23972)
BGLAP	rep2_peak_2629 (-16421)
BHLHE40	rep2_peak_26837 (-391), rep2_peak_26840 (+7884)
BHLHE41	rep2_peak_8416 (+10579)
BICDL2	rep2_peak_13548 (-1529)
BID	rep2_peak_25876 (-12880)
BIK	rep2_peak_26637 (-6566)
BIN1	rep2_peak_22416 (+6733)
BIRC2	rep2_peak_7603 (-176)
BLOC1S2	rep2_peak_5551 (-14575)
BLOC1S4	rep2_peak_29686 (+17668)
BLOC1S5	rep2_peak_33545 (-20807)
BLVRA	rep2_peak_36795 (+11405), rep2_peak_36797 (+23737)
BMF	rep2_peak_12332 (-273), rep2_peak_12328 (+9958), rep2_peak_12327 (+16078), rep2_peak_12326 (+20093), rep2_peak_12325 (+24987), rep2_peak_12324 (+26997)
BMP4	rep2_peak_11298 (-23457), rep2_peak_11295 (+13171)
BMP6	rep2_peak_33537 (-28466)
BMPR1A	rep2_peak_5270 (+18526)
BNIP3	rep2_peak_6013 (-15705), rep2_peak_6011 (+2129)
BNIPL	rep2_peak_2469 (-23376)
BOD1	rep2_peak_33152 (-6760)
BOD1L2	rep2_peak_18407 (-5123)
BOK	rep2_peak_23995 (+1320)
BORCS5	rep2_peak_8287 (+28003)
BORCS7	rep2_peak_5635 (-3977)
BPHL	rep2_peak_33397 (+7924)
BPIFB2	rep2_peak_24629 (-1390), rep2_peak_24631 (+2052)
BPIFB3	rep2_peak_24632 (-11690)
BPIFB4	rep2_peak_24633 (+24755)
BPIFB6	rep2_peak_24631 (-21996), rep2_peak_24632 (+12086)
BRCA1	rep2_peak_16366 (-162)
BRD3	rep2_peak_41660 (+1712)
BRD4	rep2_peak_19219 (-16579)
BRD9	rep2_peak_31207 (-26773)
BTBD18	rep2_peak_6713 (-132)
BTD	rep2_peak_27025 (-16)
BTF3L4	rep2_peak_1284 (-18464)
BTN1A1	rep2_peak_33897 (-25909)
BTN2A1	rep2_peak_33897 (+17387)
BTN3A2	rep2_peak_33890 (-19181), rep2_peak_33891 (-17311), rep2_peak_33892 (-14945)
BTRC	rep2_peak_5592 (-22538)
BUD13	rep2_peak_7770 (+12)
BZW2	rep2_peak_36435 (+90)
C10orf10	rep2_peak_4669 (-17198), rep2_peak_4667 (-11535), rep2_peak_4665 (-2119), rep2_peak_4664 (-58)
C10orf67	rep2_peak_4363 (-1218)
C11orf24	rep2_peak_7125 (-26365)
C11orf91	rep2_peak_6498 (+9528)
C12orf43	rep2_peak_9743 (-9333)
C12orf73	rep2_peak_9399 (+23)
C15orf48	rep2_peak_12466 (+9040)
C15orf62	rep2_peak_12351 (+23720)
C16orf54	rep2_peak_14191 (-19618)
C16orf62	rep2_peak_13962 (-13102), rep2_peak_13963 (-11932)
C16orf70	rep2_peak_14686 (+1388)
C16orf91	rep2_peak_13467 (-10180)
C17orf75	rep2_peak_16041 (+21905)
C1GALT1	rep2_peak_36386 (-25760), rep2_peak_36388 (-5351), rep2_peak_36390 (+182), rep2_peak_36391 (+17181)
C1QBP	rep2_peak_15530 (-26148)
C1QTNF1	rep2_peak_17552 (+2755)
C1QTNF12	rep2_peak_37 (+8468)
C1QTNF3	rep2_peak_31386 (+7882)
C1orf131	rep2_peak_3834 (+6958)
C1orf186	rep2_peak_3324 (+3163)
C1orf210	rep2_peak_1119 (+2979), rep2_peak_1118 (+3887)
C1orf68	rep2_peak_2506 (+26736)
C2	rep2_peak_34178 (-60)
C21orf91	rep2_peak_25496 (+22704)
C2orf82	rep2_peak_23790 (-12248)
C2orf83	rep2_peak_23712 (-11231)
C3	rep2_peak_18929 (-9699), rep2_peak_18928 (-4995), rep2_peak_18927 (-2651), rep2_peak_18926 (-122)
C3orf20	rep2_peak_27009 (+3167)
C3orf58	rep2_peak_28658 (+2125)
C4BPA	rep2_peak_3351 (-103)
C4BPB	rep2_peak_3349 (-85)
C5	rep2_peak_41256 (-1655)
C5AR1	rep2_peak_19913 (+5662)
C5AR2	rep2_peak_19913 (-16611)
C5orf63	rep2_peak_32462 (-24011)
C6orf106	rep2_peak_34249 (+23084)
C6orf15	rep2_peak_34127 (+19165)
C6orf89	rep2_peak_34328 (+43)
C7	rep2_peak_31509 (-26029), rep2_peak_31510 (-13428)
C7orf31	rep2_peak_36557 (-16331), rep2_peak_36556 (-9015)
C7orf49	rep2_peak_37987 (-208)
C7orf50	rep2_peak_36227 (-18798)
C7orf61	rep2_peak_37557 (+19684)
C8A	rep2_peak_1422 (-85)
C8orf33	rep2_peak_40002 (-24646), rep2_peak_40003 (-23855)
C8orf4	rep2_peak_38902 (+5670), rep2_peak_38903 (+9143), rep2_peak_38905 (+17333), rep2_peak_38906 (+21571)
C9orf57	rep2_peak_40541 (-14251)
CA5A	rep2_peak_15254 (-135)
CA5B	rep2_peak_41869 (+6183)
CA8	rep2_peak_39074 (-762)
CA9	rep2_peak_40313 (-4263)
CAB39	rep2_peak_23743 (+26293)
CABIN1	rep2_peak_26056 (-2081), rep2_peak_26058 (+14267)
CABLES1	rep2_peak_18072 (-1671), rep2_peak_18073 (-393), rep2_peak_18076 (+11302)
CABLES2	rep2_peak_25324 (+572)
CABYR	rep2_peak_18107 (-25871), rep2_peak_18108 (-23715)
CACNA1D	rep2_peak_27692 (-16161)
CADM1	rep2_peak_7752 (+3498)
CALML3	rep2_peak_4172 (+24197)
CALR3	rep2_peak_19250 (+3046), rep2_peak_19249 (+6979)
CAMK2D	rep2_peak_30617 (-1556)
CAMK2N1	rep2_peak_537 (+5646), rep2_peak_535 (+9592)
CAPG	rep2_peak_21779 (-2696)
CAPN11	rep2_peak_34557 (-2143), rep2_peak_34560 (+28707)
CAPN12	rep2_peak_19610 (-15263), rep2_peak_19608 (+22322)
CAPN15	rep2_peak_13431 (-18464)
CAPN2	rep2_peak_3630 (-4156), rep2_peak_3631 (-1645)
CAPN5	rep2_peak_7364 (-5532)
CAPN9	rep2_peak_3823 (-18229)
CAPNS1	rep2_peak_19552 (-19340)
CAPNS2	rep2_peak_14524 (+4746)
CAPRIN1	rep2_peak_6506 (-23522)
CAPRIN2	rep2_peak_8470 (-658)
CAPS	rep2_peak_18903 (-1566)
CARD10	rep2_peak_26431 (-26304), rep2_peak_26428 (+6907), rep2_peak_26427 (+17561)
CARD16	rep2_peak_7635 (-12402), rep2_peak_7634 (-6454), rep2_peak_7633 (-2102)
CARD19	rep2_peak_40769 (+13160), rep2_peak_40770 (+16376)
CARHSP1	rep2_peak_13663 (+4636)
CARM1	rep2_peak_19050 (+7711)
CARMIL1	rep2_peak_33810 (-8676)
CARNMT1	rep2_peak_40577 (+26172)
CASC3	rep2_peak_16212 (+117)
CASP3	rep2_peak_31103 (+23528)
CASP4	rep2_peak_7631 (-25834), rep2_peak_7629 (+12691)
CASP5	rep2_peak_7632 (+18954), rep2_peak_7631 (+27898)
CASTOR1	rep2_peak_26231 (-27824)
CASTOR2	rep2_peak_37165 (+1743), rep2_peak_37166 (+7903), rep2_peak_37167 (+29318)
CAT	rep2_peak_6533 (-11585), rep2_peak_6537 (+23792)
CATSPER3	rep2_peak_32593 (-3065)
CATSPERB	rep2_peak_11873 (-23660)
CATSPERG	rep2_peak_19595 (+27742)
