A1BG	rep2_peak_20236 (-82)
ABCE1	rep2_peak_30829 (+293)
ABCF1	rep2_peak_34091 (-919), rep2_peak_34092 (-25)
ABCF3	rep2_peak_29142 (+90)
ABCG1	rep2_peak_25714 (-19495)
ABCG2	rep2_peak_30409 (-140)
ABCG4	rep2_peak_7864 (-18201)
ABCG5	rep2_peak_21088 (-199), rep2_peak_21087 (+29770)
ABCG8	rep2_peak_21088 (+54), rep2_peak_21089 (+3711)
ABHD1	rep2_peak_20741 (-404), rep2_peak_20742 (-125)
ABHD10	rep2_peak_28198 (+86)
ABHD11	rep2_peak_37126 (-230)
ABHD12	rep2_peak_24516 (-9515), rep2_peak_24515 (-8394), rep2_peak_24514 (-124), rep2_peak_24513 (+12439)
ABHD12B	rep2_peak_11237 (+3399), rep2_peak_11238 (+20278)
ABHD13	rep2_peak_10742 (-3), rep2_peak_10743 (+12227)
ABHD14A	rep2_peak_27622 (-1014)
ABHD14B	rep2_peak_27624 (-67), rep2_peak_27623 (+834)
ABHD15	rep2_peak_15977 (+1023), rep2_peak_15976 (+11080)
ABHD16A	rep2_peak_34155 (+62)
ABHD16B	rep2_peak_25379 (-15199), rep2_peak_25380 (-2480)
ABHD17A	rep2_peak_18722 (-17646), rep2_peak_18721 (-16685), rep2_peak_18720 (-12258), rep2_peak_18719 (+9250), rep2_peak_18718 (+13999), rep2_peak_18717 (+18323), rep2_peak_18716 (+20466)
ABHD17B	rep2_peak_40538 (-612)
ABHD18	rep2_peak_30713 (+47)
ABHD2	rep2_peak_13186 (-129), rep2_peak_13187 (+24379)
ABHD3	rep2_peak_18046 (-109), rep2_peak_18045 (+5065), rep2_peak_18044 (+6957), rep2_peak_18043 (+18105), rep2_peak_18042 (+19968)
ABHD5	rep2_peak_27404 (+134), rep2_peak_27405 (+15665), rep2_peak_27406 (+18365)
ABHD6	rep2_peak_27786 (-20073), rep2_peak_27787 (-14917), rep2_peak_27788 (+212), rep2_peak_27789 (+1081), rep2_peak_27790 (+12195)
ABHD8	rep2_peak_19277 (+26), rep2_peak_19276 (+20678)
ABI1	rep2_peak_4394 (-43)
ABI2	rep2_peak_23320 (-113)
ABL2	rep2_peak_2989 (+2672)
ABLIM1	rep2_peak_5829 (-26767), rep2_peak_5828 (-7300), rep2_peak_5827 (+26109)
ABLIM3	rep2_peak_32874 (-90), rep2_peak_32875 (+10910), rep2_peak_32876 (+18960), rep2_peak_32877 (+19628), rep2_peak_32878 (+20970)
ABRAXAS1	rep2_peak_30367 (-1541), rep2_peak_30366 (+143)
ABRAXAS2	rep2_peak_5974 (-881), rep2_peak_5975 (-87)
ABT1	rep2_peak_33912 (-28675), rep2_peak_33913 (-28117), rep2_peak_33914 (-25067), rep2_peak_33915 (-24249), rep2_peak_33916 (-939), rep2_peak_33917 (-69)
ABTB2	rep2_peak_6528 (-13648), rep2_peak_6527 (-6287), rep2_peak_6526 (-5486), rep2_peak_6525 (-1109), rep2_peak_6524 (-453), rep2_peak_6523 (-36), rep2_peak_6522 (+1188), rep2_peak_6521 (+12592), rep2_peak_6520 (+18557), rep2_peak_6519 (+25237)
ACAA1	rep2_peak_27294 (+2569), rep2_peak_27293 (+3464), rep2_peak_27292 (+6403)
ACAA2	rep2_peak_18344 (-21857), rep2_peak_18343 (-21205), rep2_peak_18342 (-20047), rep2_peak_18341 (-18423), rep2_peak_18340 (+471), rep2_peak_18339 (+5242), rep2_peak_18338 (+13264)
ACACA	rep2_peak_16096 (-531)
ACACB	rep2_peak_9478 (-589)
ACAD8	rep2_peak_8034 (-30)
ACAD9	rep2_peak_28452 (-110)
ACADM	rep2_peak_1654 (-472), rep2_peak_1655 (+11), rep2_peak_1656 (+1326), rep2_peak_1657 (+5938)
ACADS	rep2_peak_9734 (+106), rep2_peak_9735 (+2176)
ACADSB	rep2_peak_5949 (-112), rep2_peak_5950 (+11473), rep2_peak_5951 (+26643)
ACAP2	rep2_peak_29436 (+27)
ACAP3	rep2_peak_43 (-267), rep2_peak_42 (+20213), rep2_peak_41 (+26229)
ACAT1	rep2_peak_7658 (-34)
ACAT2	rep2_peak_35997 (+1795)
ACBD3	rep2_peak_3687 (-57)
ACBD4	rep2_peak_16489 (+2867)
ACBD5	rep2_peak_4405 (-25404), rep2_peak_4404 (-2384), rep2_peak_4403 (-1333), rep2_peak_4402 (+280)
ACBD6	rep2_peak_3008 (-18713), rep2_peak_3007 (-13095), rep2_peak_3006 (+143)
ACBD7	rep2_peak_4292 (+4301)
ACCS	rep2_peak_6592 (+16571)
ACD	rep2_peak_14713 (+730)
ACE	rep2_peak_16970 (-19530), rep2_peak_16971 (-14412)
ACE2	rep2_peak_41867 (-97)
ACER2	rep2_peak_40176 (-92), rep2_peak_40177 (+24226)
ACER3	rep2_peak_7360 (+215), rep2_peak_7361 (+28729)
ACIN1	rep2_peak_10911 (+595)
ACKR2	rep2_peak_27386 (-3857), rep2_peak_27387 (+10124), rep2_peak_27388 (+13892), rep2_peak_27389 (+19782)
ACLY	rep2_peak_16272 (-4), rep2_peak_16271 (+10644)
ACO1	rep2_peak_40217 (+115)
ACO2	rep2_peak_26580 (-78)
ACOT1	rep2_peak_11644 (-38), rep2_peak_11645 (+813)
ACOT11	rep2_peak_1350 (-9510), rep2_peak_1351 (-5946), rep2_peak_1352 (+13041)
ACOT12	rep2_peak_32063 (-28710), rep2_peak_32062 (+22455)
ACOT13	rep2_peak_33797 (+59)
ACOT2	rep2_peak_11646 (-6115), rep2_peak_11647 (+130)
ACOT4	rep2_peak_11648 (+19199)
ACOT6	rep2_peak_11648 (-5939), rep2_peak_11649 (+19782)
ACOT7	rep2_peak_169 (-27267), rep2_peak_168 (-24630), rep2_peak_167 (-7896), rep2_peak_166 (+26020)
ACOT8	rep2_peak_24934 (-38)
ACOT9	rep2_peak_41943 (-129)
ACOX1	rep2_peak_17384 (-19170), rep2_peak_17383 (-17646), rep2_peak_17382 (-14294), rep2_peak_17381 (-9424), rep2_peak_17380 (+57)
ACOX2	rep2_peak_27816 (-23657), rep2_peak_27815 (-20421), rep2_peak_27814 (-11941), rep2_peak_27813 (-598), rep2_peak_27812 (+63), rep2_peak_27811 (+1266), rep2_peak_27810 (+4354), rep2_peak_27809 (+10515), rep2_peak_27808 (+14125), rep2_peak_27807 (+16110), rep2_peak_27806 (+17256), rep2_peak_27805 (+18841)
ACOX3	rep2_peak_29738 (-17), rep2_peak_29737 (+12231)
ACP1	rep2_peak_20267 (+141), rep2_peak_20268 (+6201)
ACP2	rep2_peak_6656 (-8694), rep2_peak_6655 (-6095), rep2_peak_6654 (-4942), rep2_peak_6653 (+16)
ACP6	rep2_peak_2366 (-150)
ACP7	rep2_peak_19627 (-25618)
ACPP	rep2_peak_28510 (+29990)
ACR	rep2_peak_26804 (+18899)
ACSF2	rep2_peak_16632 (-3300), rep2_peak_16633 (-2392), rep2_peak_16634 (-423), rep2_peak_16635 (+2821)
ACSF3	rep2_peak_15288 (-2976), rep2_peak_15289 (+4638), rep2_peak_15290 (+24695)
ACSL1	rep2_peak_31113 (-11689), rep2_peak_31112 (+502), rep2_peak_31111 (+6826), rep2_peak_31110 (+11602), rep2_peak_31109 (+13327), rep2_peak_31108 (+18644)
ACSL3	rep2_peak_23635 (-18236), rep2_peak_23636 (-912), rep2_peak_23637 (+7), rep2_peak_23638 (+10543), rep2_peak_23639 (+17567), rep2_peak_23640 (+18136)
ACSL4	rep2_peak_42403 (-6837), rep2_peak_42402 (-173), rep2_peak_42401 (+8250), rep2_peak_42400 (+8931)
ACSL5	rep2_peak_5753 (-10936), rep2_peak_5754 (-2148), rep2_peak_5755 (+3954), rep2_peak_5756 (+7357), rep2_peak_5757 (+12618), rep2_peak_5758 (+13428), rep2_peak_5759 (+15363), rep2_peak_5760 (+18505), rep2_peak_5761 (+19787)
ACSL6	rep2_peak_32491 (+8236), rep2_peak_32490 (+9712), rep2_peak_32489 (+14707), rep2_peak_32488 (+16920)
ACSM1	rep2_peak_13994 (-6585), rep2_peak_13993 (+13489), rep2_peak_13992 (+16943)
ACSM2A	rep2_peak_13980 (-26989), rep2_peak_13981 (-24803), rep2_peak_13982 (-4407), rep2_peak_13983 (-1893), rep2_peak_13984 (-130)
ACSM2B	rep2_peak_13991 (-22607), rep2_peak_13990 (-20427), rep2_peak_13989 (-11289), rep2_peak_13988 (-4336), rep2_peak_13987 (-1956), rep2_peak_13986 (0)
ACSM5	rep2_peak_13979 (-95), rep2_peak_13980 (+15053), rep2_peak_13981 (+17239)
ACSM6	rep2_peak_5409 (-15195), rep2_peak_5410 (-5466)
ACSS1	rep2_peak_24499 (+347), rep2_peak_24498 (+857), rep2_peak_24497 (+25383), rep2_peak_24496 (+27940)
ACSS3	rep2_peak_9151 (+839), rep2_peak_9152 (+1789), rep2_peak_9153 (+9331)
ACTA1	rep2_peak_3793 (+24329), rep2_peak_3792 (+27158)
ACTB	rep2_peak_36329 (-22280), rep2_peak_36328 (-3515), rep2_peak_36327 (+946)
ACTG1	rep2_peak_17646 (+12)
ACTG2	rep2_peak_21647 (-2523)
ACTL6A	rep2_peak_29090 (+182), rep2_peak_29091 (+544)
ACTL6B	rep2_peak_37580 (-3), rep2_peak_37579 (+3292)
ACTL7A	rep2_peak_41031 (+7033), rep2_peak_41032 (+23798), rep2_peak_41033 (+27696)
ACTN1	rep2_peak_11569 (-244), rep2_peak_11568 (+1199), rep2_peak_11567 (+2926), rep2_peak_11566 (+4953), rep2_peak_11565 (+23706)
ACTN4	rep2_peak_19598 (+1870), rep2_peak_19599 (+3696), rep2_peak_19600 (+5564), rep2_peak_19601 (+8987), rep2_peak_19602 (+11083), rep2_peak_19603 (+18607), rep2_peak_19604 (+23426)
ACTR10	rep2_peak_11374 (-208)
ACTR1B	rep2_peak_21941 (-158), rep2_peak_21940 (+780)
ACTR2	rep2_peak_21468 (-153)
ACTR3	rep2_peak_22282 (-13231), rep2_peak_22283 (-70), rep2_peak_22284 (+612), rep2_peak_22285 (+4599), rep2_peak_22286 (+11163)
ACTR3C	rep2_peak_38194 (-20256), rep2_peak_38193 (-18197), rep2_peak_38192 (-13584), rep2_peak_38191 (+6012)
ACTR5	rep2_peak_24834 (+46)
ACTR6	rep2_peak_9346 (-15341), rep2_peak_9347 (-75), rep2_peak_9348 (+721), rep2_peak_9349 (+13222)
ACTR8	rep2_peak_27698 (+221)
ACTRT3	rep2_peak_28929 (+212), rep2_peak_28928 (+6704)
ACVR1B	rep2_peak_8731 (+20880), rep2_peak_8732 (+25370)
ACVR2A	rep2_peak_22587 (-279), rep2_peak_22588 (+7252)
ACVR2B	rep2_peak_27301 (-10472), rep2_peak_27302 (-203), rep2_peak_27303 (+1592)
ACY1	rep2_peak_27623 (-703), rep2_peak_27624 (+198)
ACY3	rep2_peak_7099 (-60)
ACYP1	rep2_peak_11702 (-41)
ACYP2	rep2_peak_21252 (+129)
ADA	rep2_peak_24906 (-217)
ADA2	rep2_peak_25868 (+18064)
ADAM10	rep2_peak_12630 (-122), rep2_peak_12629 (+282), rep2_peak_12628 (+1034), rep2_peak_12627 (+6938)
ADAM11	rep2_peak_16477 (+10748)
ADAM15	rep2_peak_2570 (-643)
ADAM17	rep2_peak_20375 (-260)
ADAM18	rep2_peak_38891 (-5450)
ADAM2	rep2_peak_38892 (-14636)
ADAM21	rep2_peak_11612 (-3326)
ADAM22	rep2_peak_37323 (-179)
ADAM23	rep2_peak_23369 (-7525)
ADAM28	rep2_peak_38651 (-39)
ADAM32	rep2_peak_38890 (+2102)
ADAM33	rep2_peak_24123 (-19574)
ADAM8	rep2_peak_6030 (-1337)
ADAM9	rep2_peak_38887 (-129), rep2_peak_38888 (+7307)
ADAMDEC1	rep2_peak_38652 (-12919), rep2_peak_38653 (+3519)
ADAMTS10	rep2_peak_19001 (-23328), rep2_peak_19000 (+25852)
ADAMTS13	rep2_peak_41632 (+6128)
ADAMTS14	rep2_peak_4985 (-24209), rep2_peak_4986 (+13906)
ADAMTS16	rep2_peak_31232 (-4169)
ADAMTS17	rep2_peak_13372 (-8772), rep2_peak_13371 (-8347)
ADAMTS6	rep2_peak_31746 (-31), rep2_peak_31745 (+1476)
ADAMTS7	rep2_peak_13065 (-14449)
ADAMTSL2	rep2_peak_41637 (+1004)
ADAMTSL3	rep2_peak_13127 (+2283)
ADAMTSL4	rep2_peak_2442 (-16930), rep2_peak_2443 (-5465), rep2_peak_2444 (-282), rep2_peak_2445 (+12074), rep2_peak_2446 (+12817), rep2_peak_2447 (+14870), rep2_peak_2448 (+18977), rep2_peak_2449 (+27851)
ADAMTSL5	rep2_peak_18708 (+231), rep2_peak_18707 (+9582), rep2_peak_18706 (+14493), rep2_peak_18705 (+19747)
ADAP1	rep2_peak_36213 (-17467), rep2_peak_36212 (-5117), rep2_peak_36211 (-2620), rep2_peak_36210 (+9504), rep2_peak_36209 (+28830)
ADAP2	rep2_peak_16011 (-5437)
ADAR	rep2_peak_2551 (-19898), rep2_peak_2550 (-19073), rep2_peak_2549 (-100)
ADAT1	rep2_peak_14976 (+1)
ADAT2	rep2_peak_35692 (-91), rep2_peak_35691 (+816)
ADAT3	rep2_peak_18723 (-131), rep2_peak_18724 (+2495)
ADCK1	rep2_peak_11776 (-8704), rep2_peak_11777 (+162)
ADCK5	rep2_peak_39968 (-230), rep2_peak_39969 (+12973)
ADCY10	rep2_peak_2822 (-14110), rep2_peak_2821 (-12597), rep2_peak_2820 (-3173), rep2_peak_2819 (-188), rep2_peak_2818 (+8715)
ADCY4	rep2_peak_10966 (+1265)
ADCY6	rep2_peak_8638 (-26888)
ADCY7	rep2_peak_14410 (+16675), rep2_peak_14411 (+25507)
ADCY9	rep2_peak_13589 (+2659), rep2_peak_13588 (+6738), rep2_peak_13587 (+21880)
ADCYAP1	rep2_peak_17789 (+18224)
ADD1	rep2_peak_29591 (-8536), rep2_peak_29592 (+11942), rep2_peak_29593 (+17278), rep2_peak_29594 (+22510)
ADD3	rep2_peak_5704 (-401), rep2_peak_5705 (+195), rep2_peak_5706 (+533)
ADGRA3	rep2_peak_29838 (-243), rep2_peak_29837 (+654), rep2_peak_29836 (+25134), rep2_peak_29835 (+28491)
ADGRD1	rep2_peak_9927 (+18018), rep2_peak_9928 (+29005)
ADGRD2	rep2_peak_41363 (-20390)
ADGRE1	rep2_peak_18935 (-23883)
ADGRE5	rep2_peak_19199 (-27938), rep2_peak_19200 (-16572)
ADGRF1	rep2_peak_34592 (-19805), rep2_peak_34591 (-5347)
ADGRF3	rep2_peak_20718 (-20768)
ADGRG1	rep2_peak_14588 (-19448), rep2_peak_14589 (-12857), rep2_peak_14590 (-11583), rep2_peak_14591 (+3650), rep2_peak_14592 (+4485), rep2_peak_14593 (+15610), rep2_peak_14594 (+29244)
ADGRG3	rep2_peak_14594 (-18945), rep2_peak_14595 (-617)
ADGRG6	rep2_peak_35655 (-22238), rep2_peak_35656 (-16273), rep2_peak_35657 (-9604), rep2_peak_35658 (-4480), rep2_peak_35659 (-3698), rep2_peak_35660 (+36), rep2_peak_35661 (+6185), rep2_peak_35662 (+21650), rep2_peak_35663 (+29356)
ADGRG7	rep2_peak_28120 (-6940)
ADGRL1	rep2_peak_19197 (-14098), rep2_peak_19196 (-1302), rep2_peak_19195 (-875), rep2_peak_19194 (+19306)
ADH1A	rep2_peak_30476 (-9966)
ADH1B	rep2_peak_30476 (+20405)
ADH4	rep2_peak_30474 (-22374), rep2_peak_30473 (-13387), rep2_peak_30472 (-71), rep2_peak_30471 (+26956)
ADH5	rep2_peak_30471 (-28590), rep2_peak_30470 (+114)
ADH6	rep2_peak_30475 (-22)
ADH7	rep2_peak_30478 (+29491)
ADHFE1	rep2_peak_39124 (-64)
ADI1	rep2_peak_20289 (-16775), rep2_peak_20288 (-4940), rep2_peak_20287 (+805), rep2_peak_20286 (+4183), rep2_peak_20285 (+26648)
ADIG	rep2_peak_24831 (+4436)
ADIPOQ	rep2_peak_29228 (-14978), rep2_peak_29229 (+18324), rep2_peak_29230 (+22692)
ADIPOR2	rep2_peak_8090 (-28908), rep2_peak_8091 (-24151), rep2_peak_8092 (-22057), rep2_peak_8093 (-136), rep2_peak_8094 (+21042)
ADK	rep2_peak_5084 (+147), rep2_peak_5085 (+25411)
ADM	rep2_peak_6237 (-2196), rep2_peak_6238 (-373), rep2_peak_6239 (+3050), rep2_peak_6240 (+4571), rep2_peak_6241 (+18054), rep2_peak_6242 (+21531)
ADM2	rep2_peak_26789 (+3979)
ADNP	rep2_peak_25159 (-235), rep2_peak_25158 (+1715)
ADNP2	rep2_peak_18618 (-2348)
ADO	rep2_peak_4886 (-20111), rep2_peak_4887 (-15585)
ADORA2A	rep2_peak_26069 (-11915)
ADORA2B	rep2_peak_15727 (+421), rep2_peak_15728 (+21430)
ADORA3	rep2_peak_2083 (-14707), rep2_peak_2082 (-5724)
ADPGK	rep2_peak_12931 (-14225), rep2_peak_12930 (+23)
ADPRHL1	rep2_peak_10816 (+4326), rep2_peak_10815 (+15733)
ADPRHL2	rep2_peak_975 (-67)
ADPRM	rep2_peak_15670 (0), rep2_peak_15671 (+27840)
ADRA1A	rep2_peak_38686 (+22004), rep2_peak_38685 (+25017)
ADRA1D	rep2_peak_24150 (+4018), rep2_peak_24149 (+26547)
ADRA2C	rep2_peak_29621 (-12083), rep2_peak_29622 (+14245), rep2_peak_29623 (+18422), rep2_peak_29624 (+25702)
ADRB3	rep2_peak_38841 (-4202)
ADRM1	rep2_peak_25314 (-49), rep2_peak_25315 (+696)
ADSL	rep2_peak_26539 (+64)
ADSS	rep2_peak_4034 (-112), rep2_peak_4033 (+349)
ADSSL1	rep2_peak_12156 (-2559), rep2_peak_12157 (+5719), rep2_peak_12158 (+19661)
AEBP2	rep2_peak_8365 (-86)
AEN	rep2_peak_13177 (-5771), rep2_peak_13178 (+12)
AES	rep2_peak_18792 (-2780), rep2_peak_18791 (+15210), rep2_peak_18790 (+26657)
AFAP1	rep2_peak_29730 (-27158), rep2_peak_29729 (-155), rep2_peak_29728 (+15599)
AFAP1L1	rep2_peak_32882 (+27973)
AFDN	rep2_peak_36130 (-21146), rep2_peak_36131 (-1836), rep2_peak_36132 (-989), rep2_peak_36133 (+305), rep2_peak_36134 (+28400)
AFF1	rep2_peak_30383 (-194), rep2_peak_30384 (+206), rep2_peak_30385 (+1476)
AFF4	rep2_peak_32532 (-18732), rep2_peak_32531 (+19), rep2_peak_32530 (+15829)
AFG1L	rep2_peak_35130 (-24091), rep2_peak_35131 (+19)
AFG3L2	rep2_peak_17982 (-15700), rep2_peak_17981 (-101)
AFM	rep2_peak_30233 (-24104), rep2_peak_30234 (-23046), rep2_peak_30235 (-149), rep2_peak_30236 (+26072)
AFMID	rep2_peak_17509 (-218), rep2_peak_17510 (+71), rep2_peak_17511 (+712)
AFP	rep2_peak_30229 (-20091), rep2_peak_30230 (-14089), rep2_peak_30231 (-5780), rep2_peak_30232 (-3842), rep2_peak_30233 (+21416), rep2_peak_30234 (+22474)
AFTPH	rep2_peak_21422 (-12909), rep2_peak_21423 (-7519), rep2_peak_21424 (-6652), rep2_peak_21425 (-1269), rep2_peak_21426 (-31)
AGA	rep2_peak_31031 (+254)
AGAP1	rep2_peak_23859 (+11263), rep2_peak_23860 (+20682)
AGAP3	rep2_peak_38218 (-640), rep2_peak_38219 (+2703)
AGAP9	rep2_peak_4724 (-29879), rep2_peak_4723 (-14076), rep2_peak_4722 (-13162)
AGBL2	rep2_peak_6671 (-8848)
AGBL3	rep2_peak_37978 (+222), rep2_peak_37979 (+5096), rep2_peak_37980 (+5645), rep2_peak_37981 (+11101)
AGBL5	rep2_peak_20733 (-908)
AGFG1	rep2_peak_23708 (-20648), rep2_peak_23709 (-17410), rep2_peak_23710 (-5753), rep2_peak_23711 (-49)
AGFG2	rep2_peak_37563 (-16865), rep2_peak_37564 (-10954), rep2_peak_37565 (-4258), rep2_peak_37566 (+19), rep2_peak_37567 (+1042), rep2_peak_37568 (+5900), rep2_peak_37569 (+6664), rep2_peak_37570 (+20734), rep2_peak_37571 (+29168)
AGGF1	rep2_peak_31966 (+11617)
AGK	rep2_peak_38130 (+170)
AGL	rep2_peak_1943 (-13933), rep2_peak_1944 (-395)
AGMAT	rep2_peak_418 (-25254), rep2_peak_417 (-20796), rep2_peak_416 (-18637), rep2_peak_415 (-21), rep2_peak_414 (+401)
AGO1	rep2_peak_974 (-8978)
AGO2	rep2_peak_39874 (-601), rep2_peak_39873 (+8243), rep2_peak_39872 (+9261)
AGPAT1	rep2_peak_34190 (+1101), rep2_peak_34189 (+2499)
AGPAT2	rep2_peak_41713 (-11474), rep2_peak_41712 (-10738), rep2_peak_41711 (-9938), rep2_peak_41710 (-6420), rep2_peak_41709 (+12176)
AGPAT3	rep2_peak_25779 (+14285)
AGPAT5	rep2_peak_38370 (-255), rep2_peak_38371 (+645)
AGPS	rep2_peak_23011 (-651), rep2_peak_23012 (+30), rep2_peak_23013 (+1764), rep2_peak_23014 (+4238), rep2_peak_23015 (+5391), rep2_peak_23016 (+12629)
AGR3	rep2_peak_36437 (-23472)
AGRN	rep2_peak_28 (+18038)
AGT	rep2_peak_3824 (-16902), rep2_peak_3823 (-14858), rep2_peak_3822 (-11146), rep2_peak_3821 (-181), rep2_peak_3820 (+5519), rep2_peak_3819 (+11139), rep2_peak_3818 (+11966)
AGTPBP1	rep2_peak_40683 (+18631)
AGTR1	rep2_peak_28692 (-20423), rep2_peak_28693 (-17770)
AGXT	rep2_peak_23961 (-11629), rep2_peak_23962 (-10872), rep2_peak_23963 (-3812), rep2_peak_23964 (+239), rep2_peak_23965 (+5773), rep2_peak_23966 (+8131), rep2_peak_23967 (+28570)
AHCTF1	rep2_peak_4076 (-16040), rep2_peak_4075 (-513), rep2_peak_4074 (+11331)
AHCY	rep2_peak_24689 (-27873), rep2_peak_24688 (-15713), rep2_peak_24687 (-9543), rep2_peak_24686 (-8113), rep2_peak_24685 (-2636), rep2_peak_24684 (+37), rep2_peak_24683 (+2356), rep2_peak_24682 (+2952)
AHCYL1	rep2_peak_2057 (-24522), rep2_peak_2058 (-22977), rep2_peak_2059 (-5706), rep2_peak_2060 (-16), rep2_peak_2061 (+3893)
AHCYL2	rep2_peak_37887 (-23596), rep2_peak_37888 (-7994), rep2_peak_37889 (-6358), rep2_peak_37890 (-286)
AHDC1	rep2_peak_798 (-17879), rep2_peak_797 (-3849), rep2_peak_796 (+21502), rep2_peak_795 (+29102)
AHI1	rep2_peak_35521 (-25687), rep2_peak_35520 (+49)
AHNAK	rep2_peak_6843 (-13932), rep2_peak_6842 (-5067), rep2_peak_6841 (-2219), rep2_peak_6840 (-1141), rep2_peak_6839 (+974)
AHR	rep2_peak_36454 (+143)
AHSA2	rep2_peak_21336 (-422)
